R,x,height,clutter,location_type,label,-10.5dB_20.00%,-7.0dB_0.10%,-6.0dB_0.03%
231600,231600,5,one_end,direita,"R=231600, x=231600, h=5m, clt=one_end",-54.464978520189675,-11.033913349142576,-8.61692081972799
231600,231600,40,one_end,direita,"R=231600, x=231600, h=40m, clt=one_end",-49.29581006110803,-11.361700974278364,-9.285371924377255
231600,-231600,5,one_end,esquerda,"R=231600, x=-231600, h=5m, clt=one_end",-51.26139686328555,-6.3170385854129165,-3.7823984721311668
231600,-231600,40,one_end,esquerda,"R=231600, x=-231600, h=40m, clt=one_end",-47.785031118799566,-6.091793343813491,-4.0111568331104
231600,,5,one_end,uniforme,"R=231600, UNIFORM, h=5m, clt=one_end",-53.51695397297149,-9.708327631900197,-7.525740966583362
231600,,40,one_end,uniforme,"R=231600, UNIFORM, h=40m, clt=one_end",-49.29221232936513,-9.735137382037546,-8.203327591808721
236600,236600,5,one_end,direita,"R=236600, x=236600, h=5m, clt=one_end",-55.55389616279095,-11.891415709918817,-9.494190299153685
236600,236600,40,one_end,direita,"R=236600, x=236600, h=40m, clt=one_end",-50.56675953172433,-12.221553893888935,-10.070319966387881
236600,-236600,5,one_end,esquerda,"R=236600, x=-236600, h=5m, clt=one_end",-52.07285513057551,-7.218273316261756,-4.657587573974183
236600,-236600,40,one_end,esquerda,"R=236600, x=-236600, h=40m, clt=one_end",-48.80669312922723,-6.991268563139183,-5.018387129325495
236600,,5,one_end,uniforme,"R=236600, UNIFORM, h=5m, clt=one_end",-54.42509663864331,-10.628390271594721,-8.463903151341738
236600,,40,one_end,uniforme,"R=236600, UNIFORM, h=40m, clt=one_end",-50.44505332025406,-10.68949190324249,-9.107864830119665
241600,241600,5,one_end,direita,"R=241600, x=241600, h=5m, clt=one_end",-56.57570934908179,-12.789504723928303,-10.28532624112627
241600,241600,40,one_end,direita,"R=241600, x=241600, h=40m, clt=one_end",-51.81340946669852,-13.033735081311818,-10.937234344564981
241600,-241600,5,one_end,esquerda,"R=241600, x=-241600, h=5m, clt=one_end",-52.846383792690524,-8.130334762367255,-5.661234115053924
241600,-241600,40,one_end,esquerda,"R=241600, x=-241600, h=40m, clt=one_end",-49.809464813157184,-7.887807238026282,-5.965225353264694
241600,,5,one_end,uniforme,"R=241600, UNIFORM, h=5m, clt=one_end",-55.283192500786896,-11.557603455529968,-9.453181801699579
241600,,40,one_end,uniforme,"R=241600, UNIFORM, h=40m, clt=one_end",-51.59088666356652,-11.566742709678437,-9.983525468667457
246600,246600,5,one_end,direita,"R=246600, x=246600, h=5m, clt=one_end",-57.11034763597115,-12.97369633733248,-10.459392289677712
246600,246600,40,one_end,direita,"R=246600, x=246600, h=40m, clt=one_end",-52.64553373358788,-13.446997546068015,-11.296147261045352
246600,-246600,5,one_end,esquerda,"R=246600, x=-246600, h=5m, clt=one_end",-53.378608771395484,-8.386857699340338,-5.856425290890725
246600,-246600,40,one_end,esquerda,"R=246600, x=-246600, h=40m, clt=one_end",-50.50947369449827,-8.294062677513407,-6.311652584751712
246600,,5,one_end,uniforme,"R=246600, UNIFORM, h=5m, clt=one_end",-55.817010450324574,-11.712355640352996,-9.762991483949293
246600,,40,one_end,uniforme,"R=246600, UNIFORM, h=40m, clt=one_end",-52.3496790620423,-12.153321213008777,-10.201661216914975
251600,251600,5,one_end,direita,"R=251600, x=251600, h=5m, clt=one_end",-57.9059813020895,-13.561854129137341,-11.064265753308295
251600,251600,40,one_end,direita,"R=251600, x=251600, h=40m, clt=one_end",-53.276569415361536,-13.65561896401189,-11.50731985011813
251600,-251600,5,one_end,esquerda,"R=251600, x=-251600, h=5m, clt=one_end",-54.019111634302334,-9.052194766249155,-6.396469808505188
251600,-251600,40,one_end,esquerda,"R=251600, x=-251600, h=40m, clt=one_end",-51.09419127273271,-8.62671643333763,-6.669028739625334
251600,,5,one_end,uniforme,"R=251600, UNIFORM, h=5m, clt=one_end",-56.5246004858311,-12.371979222634643,-10.307311559310008
251600,,40,one_end,uniforme,"R=251600, UNIFORM, h=40m, clt=one_end",-52.940870770821476,-12.21863076369928,-10.574114356527268
