R,x,height,clutter,location_type,label,-10.5dB_20.00%,-7.0dB_0.10%,-6.0dB_0.03%
31600,31600,5,both_ends,direita,"R=31600, x=31600, h=5m, clt=both_ends",-29.99891917884623,-16.760350795973206,-15.407550532482368
31600,31600,40,both_ends,direita,"R=31600, x=31600, h=40m, clt=both_ends",-18.673359309144644,-10.456322570334663,-9.056585583913408
31600,-31600,5,both_ends,esquerda,"R=31600, x=-31600, h=5m, clt=both_ends",-29.902185023383794,-9.20661724293737,-7.8832039601541055
31600,-31600,40,both_ends,esquerda,"R=31600, x=-31600, h=40m, clt=both_ends",-15.8933327085754,-3.399898342065425,-2.397164874783728
31600,,5,both_ends,uniforme,"R=31600, UNIFORM, h=5m, clt=both_ends",-30.710290940020464,-12.432839446477427,-10.800926683668461
31600,,40,both_ends,uniforme,"R=31600, UNIFORM, h=40m, clt=both_ends",-18.337413080993514,-6.62346862464517,-5.231877233256688
36600,36600,5,both_ends,direita,"R=36600, x=36600, h=5m, clt=both_ends",-32.9163915836202,-16.832838992695002,-15.437866571032053
36600,36600,40,both_ends,direita,"R=36600, x=36600, h=40m, clt=both_ends",-22.84646726293562,-14.128827967503181,-13.140164097189171
36600,-36600,5,both_ends,esquerda,"R=36600, x=-36600, h=5m, clt=both_ends",-32.88762806882705,-9.452723571425736,-8.005135141944407
36600,-36600,40,both_ends,esquerda,"R=36600, x=-36600, h=40m, clt=both_ends",-20.761896905402782,-7.1392018178913705,-5.884223888103781
36600,,5,both_ends,uniforme,"R=36600, UNIFORM, h=5m, clt=both_ends",-33.62535243818306,-12.658942883574888,-11.12694662413325
36600,,40,both_ends,uniforme,"R=36600, UNIFORM, h=40m, clt=both_ends",-22.856861865999605,-10.196219656390724,-8.615012615138768
41600,41600,5,both_ends,direita,"R=41600, x=41600, h=5m, clt=both_ends",-35.80350310988152,-17.309988778114615,-15.785777776815877
41600,41600,40,both_ends,direita,"R=41600, x=41600, h=40m, clt=both_ends",-26.958808611069088,-16.861858918938793,-15.494544617346836
41600,-41600,5,both_ends,esquerda,"R=41600, x=-41600, h=5m, clt=both_ends",-35.64717679708421,-10.101090537288709,-8.610770057651761
41600,-41600,40,both_ends,esquerda,"R=41600, x=-41600, h=40m, clt=both_ends",-25.127479559781676,-9.785597377100174,-8.644886318433532
41600,,5,both_ends,uniforme,"R=41600, UNIFORM, h=5m, clt=both_ends",-36.44569111679547,-13.092512054231037,-11.52685731154084
41600,,40,both_ends,uniforme,"R=41600, UNIFORM, h=40m, clt=both_ends",-27.039661206543315,-12.950423825157255,-11.281501013225174
46600,46600,5,both_ends,direita,"R=46600, x=46600, h=5m, clt=both_ends",-38.27394500935591,-17.93971399284893,-16.392779037167514
46600,46600,40,both_ends,direita,"R=46600, x=46600, h=40m, clt=both_ends",-30.605854720557915,-17.61297511199504,-16.11206750004457
46600,-46600,5,both_ends,esquerda,"R=46600, x=-46600, h=5m, clt=both_ends",-38.04169116598926,-10.717022266689778,-9.210467285035321
46600,-46600,40,both_ends,esquerda,"R=46600, x=-46600, h=40m, clt=both_ends",-29.208664713606794,-10.529761447255563,-9.1797914328886
46600,,5,both_ends,uniforme,"R=46600, UNIFORM, h=5m, clt=both_ends",-38.92879765334027,-13.76037655789187,-12.217188599223537
46600,,40,both_ends,uniforme,"R=46600, UNIFORM, h=40m, clt=both_ends",-30.78071007198008,-13.673012856264162,-12.101228385367275
51600,51600,5,both_ends,direita,"R=51600, x=51600, h=5m, clt=both_ends",-40.47040303414332,-18.616263649912327,-17.280273197997413
51600,51600,40,both_ends,direita,"R=51600, x=51600, h=40m, clt=both_ends",-33.65583399281027,-18.44930375744326,-17.051218033713955
51600,-51600,5,both_ends,esquerda,"R=51600, x=-51600, h=5m, clt=both_ends",-40.16874277848632,-11.51587417656813,-9.944622237432672
51600,-51600,40,both_ends,esquerda,"R=51600, x=-51600, h=40m, clt=both_ends",-32.91316446305376,-11.448083090844023,-9.934133225693238
51600,,5,both_ends,uniforme,"R=51600, UNIFORM, h=5m, clt=both_ends",-41.10999225563916,-14.663883108363308,-13.038431416474605
51600,,40,both_ends,uniforme,"R=51600, UNIFORM, h=40m, clt=both_ends",-34.08955276847129,-14.649347958006413,-13.039443563694888
